".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
398,0.094104,1.2775,-0.3802
399,0.1542,1.2834,-0.40596
400,0.23177,1.2811,-0.42372
401,0.2977,1.2897,-0.42799
402,0.37413,1.2994,-0.42635
403,0.45692,1.2945,-0.42017
404,0.52469,1.2885,-0.41236
405,0.59515,1.2892,-0.41136
406,0.66942,1.2985,-0.41743
407,0.73832,1.299,-0.40945
408,0.8071,1.3077,-0.39501
409,0.8709,1.2806,-0.37351
410,-0.53232,1.3467,-0.34886
411,-0.47477,1.3355,-0.35168
412,-0.41253,1.3342,-0.33815
413,0.12663,1.3456,-0.36255
414,0.17514,1.3786,-0.37192
415,0.25096,1.3437,-0.35853
416,0.33708,1.3477,-0.36544
417,0.41719,1.3462,-0.37341
418,0.49152,1.3548,-0.36449
419,0.56938,1.3589,-0.35964
420,0.65393,1.3613,-0.35986
421,0.74641,1.3628,-0.40077
422,0.79957,1.3741,-0.37916
423,0.85489,1.355,-0.35254
424,-0.59528,1.4151,-0.36165
425,-0.54001,1.4014,-0.37801
426,-0.48419,1.4121,-0.37706
427,0.24415,1.4088,-0.38531
428,0.30864,1.4278,-0.39981
429,0.36839,1.4226,-0.4173
430,0.46021,1.4135,-0.42505
431,0.53409,1.4162,-0.4255
432,0.60613,1.4204,-0.41707
433,0.66922,1.4365,-0.39436
434,0.74346,1.4199,-0.37829
435,-0.64599,1.4596,-0.34486
436,-0.59689,1.4783,-0.37935
437,-0.50095,1.4926,-0.35004
438,-0.42919,1.4738,-0.38071
439,-0.37932,1.4707,-0.34535
440,0.27396,1.4693,-0.34904
441,0.34957,1.4823,-0.37129
442,0.41993,1.5073,-0.36235
443,0.4917,1.51,-0.36523
444,0.56012,1.5167,-0.35673
445,0.62285,1.4821,-0.38508
446,0.70522,1.4828,-0.3492
447,-0.6056,1.5407,-0.38554
448,-0.56264,1.5365,-0.42507
449,-0.4649,1.5654,-0.39158
450,-0.39718,1.5253,-0.41749
451,-0.71968,1.609,-0.32595
452,-0.64759,1.6253,-0.3441
453,-0.59649,1.6023,-0.3747
454,-0.50519,1.6195,-0.37367
455,-0.3968,1.6022,-0.38575
