".\VolumeSampling.exe -i .\sphere.obj -o sphere.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
602,-0.39157,-0.32765,-0.48693
603,-0.35521,-0.32835,-0.51579
604,-0.29094,-0.31838,-0.49123
605,-0.23307,-0.31871,-0.50319
606,-0.17349,-0.31973,-0.48719
607,-0.11373,-0.32104,-0.49484
608,-0.05578,-0.32262,-0.49936
609,0.00064714,-0.32121,-0.48766
610,0.057182,-0.32279,-0.49858
611,0.11526,-0.32134,-0.49478
612,0.17522,-0.32048,-0.48763
613,0.23212,-0.32366,-0.50628
614,0.29087,-0.31813,-0.49052
615,0.35714,-0.3286,-0.51463
616,0.39267,-0.3272,-0.48611
617,-0.40966,-0.25703,-0.51114
618,-0.38023,-0.28967,-0.52048
619,-0.32227,-0.2701,-0.50853
620,-0.26063,-0.27261,-0.52744
621,-0.20087,-0.26833,-0.51136
622,-0.14151,-0.27164,-0.51797
623,-0.084217,-0.27384,-0.52561
624,-0.027842,-0.2722,-0.52189
625,0.028831,-0.27225,-0.52032
626,0.085476,-0.2737,-0.52522
627,0.143,-0.27213,-0.51778
628,0.20238,-0.26925,-0.5105
629,0.26097,-0.27333,-0.52637
630,0.32256,-0.26985,-0.50811
631,0.38057,-0.28902,-0.52055
632,0.41059,-0.25787,-0.50972
633,-0.4486,-0.22463,-0.49078
634,-0.3956,-0.21251,-0.47702
635,-0.34562,-0.21772,-0.50243
636,-0.28931,-0.2196,-0.48481
637,-0.2321,-0.21931,-0.49741
638,-0.17352,-0.21893,-0.48439
639,-0.11476,-0.22092,-0.49001
640,-0.057405,-0.22174,-0.49266
641,0.00054692,-0.22125,-0.4913
642,0.058661,-0.22172,-0.49186
643,0.11612,-0.22101,-0.48973
644,0.17484,-0.21914,-0.48391
645,0.23332,-0.21953,-0.49709
646,0.29046,-0.21947,-0.48419
647,0.34688,-0.21795,-0.50118
648,0.39858,-0.21242,-0.47898
649,0.45025,-0.22361,-0.48964
650,-0.46159,-0.16791,-0.49823
651,-0.42987,-0.19113,-0.52262
652,-0.3746,-0.16356,-0.51156
653,-0.31931,-0.17062,-0.53396
654,-0.26256,-0.1692,-0.51443
655,-0.20401,-0.16963,-0.52459
656,-0.14515,-0.16853,-0.51613
657,-0.086804,-0.16913,-0.51759
658,-0.028962,-0.17101,-0.51982
659,0.029857,-0.17096,-0.51904
660,0.088029,-0.16899,-0.51744
661,0.14643,-0.16853,-0.51522
662,0.20523,-0.16964,-0.52425
663,0.26365,-0.16916,-0.51383
664,0.32021,-0.17107,-0.53351
665,0.37486,-0.16323,-0.51144
666,0.43114,-0.18835,-0.52219
667,0.46298,-0.16745,-0.49699
668,-0.50219,-0.12566,-0.47192
669,-0.47284,-0.11779,-0.50388
670,-0.40968,-0.11521,-0.49392
671,-0.34938,-0.11508,-0.48324
672,-0.29252,-0.11919,-0.49968
673,-0.23399,-0.11946,-0.48712
674,-0.17501,-0.11999,-0.4919
675,-0.11623,-0.11894,-0.49121
676,-0.057756,-0.1198,-0.49336
677,0.00050343,-0.12068,-0.48725
678,0.058951,-0.11976,-0.49283
679,0.1175,-0.11883,-0.4909
680,0.17636,-0.1199,-0.49161
681,0.23532,-0.11935,-0.48664
682,0.29383,-0.1192,-0.49928
683,0.35073,-0.1151,-0.48245
684,0.41071,-0.11577,-0.49329
685,0.47397,-0.11789,-0.50273
686,0.5038,-0.12377,-0.47093
687,-0.47187,-0.072045,-0.51131
688,-0.4415,-0.077681,-0.54172
689,-0.384,-0.067386,-0.52303
690,-0.32286,-0.065666,-0.51189
691,-0.26485,-0.069105,-0.52602
692,-0.20486,-0.069051,-0.51262
693,-0.14598,-0.069705,-0.52138
694,-0.087484,-0.070556,-0.52128
695,-0.028964,-0.070547,-0.52022
696,0.030083,-0.070436,-0.51965
697,0.088727,-0.070412,-0.52104
698,0.14728,-0.069633,-0.52108
699,0.20614,-0.068934,-0.51217
700,0.26612,-0.069047,-0.52561
701,0.32407,-0.065552,-0.51118
702,0.38506,-0.067622,-0.52261
703,0.44288,-0.07578,-0.54042
704,0.47344,-0.071834,-0.50976
705,-0.51038,-0.017683,-0.47876
706,-0.47858,-0.025398,-0.50971
707,-0.41472,-0.019734,-0.4998
708,-0.35462,-0.019123,-0.48825
