"id","Points:0","Points:1","Points:2"
465,-0.086996,0.51844,-0.38347
466,-0.037546,0.52532,-0.37152
467,0.39776,0.5204,-0.36755
468,0.4319,0.52465,-0.39631
469,0.47976,0.52197,-0.3927
470,0.54344,0.52294,-0.3888
471,0.60578,0.52079,-0.38883
472,0.66347,0.52772,-0.39682
473,0.72597,0.52273,-0.39165
474,-0.91221,0.56356,-0.3932
475,-0.85892,0.55571,-0.39214
476,-0.26835,0.55564,-0.39475
477,-0.2298,0.57513,-0.40045
478,-0.16839,0.57295,-0.39345
479,-0.11738,0.5701,-0.39303
480,-0.054642,0.58674,-0.39012
481,0.46857,0.57139,-0.40701
482,0.51481,0.57478,-0.42392
483,0.57253,0.57179,-0.42948
484,0.62605,0.57325,-0.42044
485,0.67926,0.57504,-0.40248
486,-0.24443,0.6163,-0.37038
487,-0.19369,0.62361,-0.38503
488,-0.13678,0.62185,-0.39757
489,-0.083278,0.62528,-0.39869
490,-0.023982,0.62292,-0.39549
491,0.019451,0.62472,-0.37836
492,0.44376,0.61637,-0.37554
493,0.48419,0.62453,-0.40028
494,0.53613,0.62092,-0.39307
495,0.60028,0.62284,-0.38992
496,0.6662,0.62322,-0.39351
497,0.71504,0.62116,-0.39646
498,0.75276,0.62683,-0.36926
499,-0.15989,0.67159,-0.39382
500,-0.11347,0.67012,-0.4051
501,-0.05247,0.67296,-0.40539
502,0.0057398,0.6824,-0.39988
503,0.5245,0.66827,-0.40646
504,0.5721,0.67231,-0.4242
505,0.62899,0.66955,-0.43021
506,0.68399,0.66839,-0.41981
507,0.73284,0.67359,-0.40355
508,-0.18766,0.7193,-0.37705
509,-0.13896,0.72486,-0.39557
510,-0.083306,0.71902,-0.40738
511,-0.02588,0.72029,-0.41205
512,0.035298,0.71721,-0.40391
513,0.077594,0.72327,-0.38263
514,0.50246,0.71128,-0.37174
515,0.54293,0.72205,-0.39559
516,0.5908,0.72034,-0.3924
517,0.65725,0.72003,-0.38784
518,0.72624,0.72119,-0.39368
519,0.77355,0.71837,-0.39633
520,0.81163,0.72603,-0.36981
521,-0.11044,0.76578,-0.40599
522,-0.054907,0.7635,-0.41315
523,0.0058392,0.76152,-0.41257
524,0.05739,0.76949,-0.40574
525,0.58286,0.7636,-0.40241
526,0.62914,0.76925,-0.41919
527,0.68595,0.7687,-0.42464
528,0.74395,0.76926,-0.41843
529,0.79191,0.77509,-0.40547
530,-0.13921,0.81496,-0.38683
531,-0.087901,0.81367,-0.40667
532,-0.034155,0.81282,-0.38778
533,0.039332,0.81596,-0.38838
534,0.095448,0.81307,-0.40387
535,0.1336,0.82068,-0.38059
536,0.5973,0.8162,-0.38612
537,0.64015,0.82157,-0.39937
538,0.71395,0.81967,-0.38462
539,0.7853,0.82185,-0.39258
540,0.83299,0.81661,-0.39271
541,0.87387,0.82346,-0.36824
542,-0.10186,0.85598,-0.39605
543,-0.0522,0.86504,-0.40899
544,0.0072858,0.86762,-0.41791
545,0.063876,0.86566,-0.41878
546,0.11502,0.86746,-0.40798
547,0.64452,0.86318,-0.39566
548,0.68903,0.8682,-0.41308
549,0.74431,0.86753,-0.42191
550,0.79923,0.86901,-0.41491
551,0.84564,0.87417,-0.39735
552,-0.12242,0.91579,-0.37001
553,-0.084446,0.91888,-0.39272
554,-0.039821,0.91331,-0.39645
555,0.032491,0.9155,-0.38699
556,0.098211,0.91608,-0.39086
557,0.15134,0.91103,-0.40496
558,0.18728,0.92309,-0.37954
559,0.6549,0.91539,-0.38567
560,0.70029,0.91899,-0.39825
561,0.77999,0.91832,-0.38685
562,0.83532,0.91881,-0.40689
563,0.88839,0.91822,-0.387
564,-0.044141,0.96611,-0.40208
565,0.0068936,0.96899,-0.41737
566,0.061654,0.96739,-0.42512
567,0.11917,0.96392,-0.42304
568,0.1697,0.96509,-0.40958
569,0.70043,0.96883,-0.40394
570,0.74709,0.96807,-0.41907
571,0.80233,0.96428,-0.4191
572,0.85902,0.96202,-0.40521
573,-0.067794,1.0191,-0.37552
574,-0.029735,1.0204,-0.40101
575,0.020854,1.013,-0.39148
576,0.08736,1.0143,-0.38814
577,0.14916,1.0145,-0.38774
578,0.21595,1.0003,-0.39776
579,0.25148,1.0223,-0.37912
580,0.66832,1.0153,-0.3793
581,0.71131,1.0151,-0.40854
582,0.76624,1.0128,-0.3866
583,0.84193,1.0095,-0.39486
584,0.88981,1.0099,-0.39829
585,0.92662,1.0142,-0.37515
586,0.0071705,1.0651,-0.40371
587,0.059864,1.0689,-0.41818
588,0.1166,1.0667,-0.42772
589,0.17316,1.068,-0.42769
590,0.22569,1.0642,-0.4155
591,0.27218,1.0732,-0.39436
592,0.70119,1.0609,-0.40312
593,0.74548,1.0626,-0.42
594,0.79873,1.0648,-0.42247
595,0.85408,1.0639,-0.41041
596,0.8945,1.064,-0.39686
597,-0.015921,1.113,-0.38152
598,0.025805,1.1198,-0.40197
599,0.078103,1.1145,-0.3929
600,0.14382,1.1153,-0.39006
601,0.20274,1.1154,-0.389
602,0.27259,1.1147,-0.39808
603,0.31654,1.116,-0.39068
604,0.36146,1.1282,-0.36694
605,0.65661,1.117,-0.38215
606,0.69627,1.1129,-0.40408
607,0.77102,1.116,-0.38429
608,0.84076,1.1167,-0.39095
609,0.89011,1.114,-0.40324
610,0.93069,1.1156,-0.37537
611,0.062248,1.1648,-0.40887
612,0.11464,1.1663,-0.42308
613,0.17346,1.1638,-0.43287
614,0.22986,1.1671,-0.43284
615,0.28899,1.1645,-0.42418
616,0.33709,1.1685,-0.4112
617,0.39495,1.1809,-0.39267
618,0.64519,1.1723,-0.3947
619,0.69118,1.1644,-0.41359
620,0.74432,1.1645,-0.42141
621,0.8011,1.166,-0.41735
622,0.85208,1.1683,-0.40564
623,0.89441,1.1599,-0.39372
624,0.037802,1.209,-0.38423
625,0.084477,1.2109,-0.40919
626,0.13795,1.2136,-0.39293
627,0.20141,1.2145,-0.39244
628,0.25825,1.2146,-0.39276
629,0.31557,1.2167,-0.39082
630,0.38351,1.2158,-0.39815
631,0.43879,1.2118,-0.40013
632,0.487,1.2155,-0.39206
633,0.54348,1.2187,-0.39069
634,0.59505,1.215,-0.39534
635,0.64221,1.2126,-0.39826
636,0.71477,1.2146,-0.38603
637,0.78317,1.2182,-0.39013
638,0.83375,1.2133,-0.40729
639,0.88477,1.2143,-0.39165
640,0.92633,1.2109,-0.36471
641,0.076084,1.2519,-0.39314
642,0.12496,1.265,-0.41127
643,0.17247,1.2647,-0.42445
644,0.2312,1.2603,-0.43409
645,0.2877,1.2634,-0.43853
646,0.34335,1.2672,-0.43708
647,0.40639,1.2624,-0.4267
648,0.46011,1.2596,-0.41992
649,0.51577,1.2614,-0.41488
650,0.57259,1.2612,-0.41802
651,0.62738,1.2641,-0.42209
652,0.68512,1.2672,-0.42627
653,0.74457,1.266,-0.42126
654,0.8051,1.2664,-0.41505
655,0.84685,1.2624,-0.39837
656,0.097505,1.3059,-0.37805
657,0.14069,1.3156,-0.39925
658,0.19181,1.3143,-0.39522
659,0.25958,1.3121,-0.39207
660,0.31734,1.3118,-0.39475
661,0.37317,1.3119,-0.39472
662,0.43009,1.3121,-0.39322
663,0.48682,1.3121,-0.39345
664,0.5439,1.3115,-0.39208
665,0.60091,1.31,-0.39218
666,0.65941,1.3134,-0.38936
667,0.72467,1.3124,-0.3917
668,0.77649,1.311,-0.40991
669,0.82723,1.3135,-0.39429
670,0.87326,1.3051,-0.3743
671,-0.54302,1.3836,-0.38966
672,0.17946,1.3559,-0.40073
673,0.23224,1.3616,-0.4175
674,0.28358,1.3623,-0.42937
675,0.34475,1.3579,-0.4374
676,0.40205,1.3602,-0.44067
677,0.4592,1.361,-0.4404
678,0.51564,1.3623,-0.4401
679,0.57196,1.363,-0.43726
680,0.6297,1.3607,-0.43121
